datetime,open,high,low,close,volume
2024-10-08 09:00:00,19980.0,20060.0,19710.0,19765.0,106.0
2024-10-08 09:01:00,19765.0,19785.0,19705.0,19760.0,45.0
2024-10-08 09:02:00,19760.0,19870.0,19740.0,19870.0,37.0
2024-10-08 09:03:00,19870.0,19870.0,19730.0,19750.0,38.0
2024-10-08 09:04:00,19750.0,19790.0,19715.0,19760.0,51.0
2024-10-08 09:05:00,19760.0,19790.0,19715.0,19715.0,20.0
2024-10-08 09:06:00,19715.0,19730.0,19645.0,19650.0,39.0
2024-10-08 09:07:00,19650.0,19685.0,19605.0,19645.0,56.0
2024-10-08 09:08:00,19645.0,19645.0,19575.0,19610.0,31.0
2024-10-08 09:09:00,19610.0,19630.0,19560.0,19575.0,25.0
2024-10-08 09:10:00,19575.0,19585.0,19535.0,19555.0,27.0
2024-10-08 09:11:00,19555.0,19570.0,19470.0,19505.0,41.0
2024-10-08 09:12:00,19505.0,19515.0,19480.0,19490.0,23.0
2024-10-08 09:13:00,19490.0,19490.0,19455.0,19470.0,5.0
2024-10-08 09:14:00,19470.0,19535.0,19470.0,19535.0,10.0
2024-10-08 09:15:00,19535.0,19565.0,19530.0,19530.0,39.0
2024-10-08 09:16:00,19530.0,19610.0,19520.0,19610.0,11.0
2024-10-08 09:17:00,19610.0,19610.0,19580.0,19580.0,11.0
2024-10-08 09:18:00,19580.0,19655.0,19580.0,19620.0,26.0
2024-10-08 09:19:00,19620.0,19685.0,19620.0,19665.0,10.0
2024-10-08 09:20:00,19665.0,19670.0,19630.0,19630.0,17.0
2024-10-08 09:21:00,19630.0,19655.0,19620.0,19655.0,11.0
2024-10-08 09:22:00,19655.0,19680.0,19635.0,19680.0,11.0
2024-10-08 09:23:00,19680.0,19700.0,19665.0,19700.0,6.0
2024-10-08 09:24:00,19700.0,19700.0,19620.0,19635.0,13.0
2024-10-08 09:25:00,19635.0,19635.0,19620.0,19630.0,6.0
2024-10-08 09:26:00,19630.0,19635.0,19630.0,19635.0,2.0
2024-10-08 09:27:00,19635.0,19635.0,19605.0,19605.0,3.0
2024-10-08 09:28:00,19605.0,19640.0,19605.0,19640.0,1.0
2024-10-08 09:29:00,19640.0,19650.0,19640.0,19650.0,6.0
2024-10-08 09:30:00,19650.0,19650.0,19590.0,19590.0,3.0
2024-10-08 09:31:00,19590.0,19590.0,19525.0,19540.0,29.0
2024-10-08 09:32:00,19540.0,19540.0,19520.0,19540.0,8.0
2024-10-08 09:33:00,19540.0,19540.0,19500.0,19515.0,6.0
2024-10-08 09:34:00,19515.0,19515.0,19485.0,19485.0,3.0
2024-10-08 09:35:00,19485.0,19515.0,19485.0,19515.0,6.0
2024-10-08 09:36:00,19515.0,19515.0,19470.0,19470.0,24.0
2024-10-08 09:38:00,19470.0,19505.0,19470.0,19505.0,13.0
2024-10-08 09:39:00,19505.0,19510.0,19505.0,19505.0,4.0
2024-10-08 09:40:00,19505.0,19510.0,19500.0,19500.0,3.0
2024-10-08 09:41:00,19500.0,19510.0,19490.0,19490.0,7.0
2024-10-08 09:42:00,19490.0,19520.0,19485.0,19485.0,9.0
2024-10-08 09:43:00,19485.0,19485.0,19485.0,19485.0,2.0
2024-10-08 09:44:00,19485.0,19520.0,19485.0,19515.0,8.0
2024-10-08 09:45:00,19515.0,19525.0,19495.0,19495.0,4.0
2024-10-08 09:46:00,19495.0,19500.0,19480.0,19500.0,8.0
2024-10-08 09:47:00,19500.0,19530.0,19500.0,19525.0,4.0
2024-10-08 09:48:00,19525.0,19575.0,19525.0,19560.0,14.0
2024-10-08 09:49:00,19560.0,19605.0,19560.0,19605.0,7.0
2024-10-08 09:50:00,19605.0,19645.0,19605.0,19625.0,5.0
2024-10-08 09:51:00,19625.0,19680.0,19625.0,19680.0,13.0
2024-10-08 09:52:00,19680.0,19685.0,19650.0,19660.0,11.0
2024-10-08 09:53:00,19660.0,19690.0,19660.0,19690.0,17.0
2024-10-08 09:54:00,19690.0,19710.0,19680.0,19690.0,18.0
2024-10-08 09:55:00,19690.0,19690.0,19665.0,19670.0,5.0
2024-10-08 09:56:00,19670.0,19670.0,19660.0,19660.0,4.0
2024-10-08 09:57:00,19660.0,19710.0,19660.0,19690.0,8.0
2024-10-08 09:58:00,19690.0,19695.0,19665.0,19665.0,11.0
2024-10-08 09:59:00,19665.0,19665.0,19640.0,19645.0,12.0
2024-10-08 10:00:00,19645.0,19660.0,19630.0,19660.0,13.0
2024-10-08 10:01:00,19660.0,19660.0,19605.0,19620.0,8.0
2024-10-08 10:02:00,19620.0,19620.0,19615.0,19615.0,12.0
2024-10-08 10:03:00,19615.0,19625.0,19540.0,19540.0,10.0
2024-10-08 10:04:00,19540.0,19540.0,19500.0,19500.0,13.0
2024-10-08 10:05:00,19500.0,19505.0,19465.0,19485.0,14.0
2024-10-08 10:06:00,19485.0,19485.0,19455.0,19470.0,19.0
2024-10-08 10:07:00,19470.0,19470.0,19390.0,19390.0,93.0
2024-10-08 10:08:00,19390.0,19440.0,19360.0,19375.0,56.0
2024-10-08 10:09:00,19375.0,19390.0,19330.0,19390.0,58.0
2024-10-08 10:10:00,19390.0,19430.0,19385.0,19430.0,35.0
2024-10-08 10:11:00,19430.0,19440.0,19405.0,19410.0,31.0
2024-10-08 10:12:00,19410.0,19420.0,19385.0,19385.0,14.0
2024-10-08 10:13:00,19385.0,19385.0,19350.0,19350.0,4.0
2024-10-08 10:14:00,19350.0,19355.0,19310.0,19325.0,40.0
2024-10-08 10:30:00,19325.0,19405.0,19300.0,19375.0,84.0
2024-10-08 10:31:00,19375.0,19385.0,19360.0,19380.0,14.0
2024-10-08 10:32:00,19380.0,19380.0,19360.0,19370.0,11.0
2024-10-08 10:33:00,19370.0,19370.0,19345.0,19360.0,9.0
2024-10-08 10:34:00,19360.0,19360.0,19325.0,19345.0,31.0
2024-10-08 10:35:00,19345.0,19345.0,19325.0,19340.0,15.0
2024-10-08 10:36:00,19340.0,19340.0,19295.0,19300.0,12.0
2024-10-08 10:37:00,19300.0,19330.0,19290.0,19290.0,13.0
2024-10-08 10:38:00,19290.0,19300.0,19280.0,19295.0,7.0
2024-10-08 10:39:00,19295.0,19350.0,19295.0,19350.0,9.0
2024-10-08 10:40:00,19350.0,19380.0,19345.0,19380.0,10.0
2024-10-08 10:41:00,19380.0,19420.0,19380.0,19405.0,25.0
2024-10-08 10:42:00,19405.0,19420.0,19400.0,19400.0,7.0
2024-10-08 10:43:00,19400.0,19435.0,19400.0,19430.0,15.0
2024-10-08 10:44:00,19430.0,19470.0,19430.0,19460.0,12.0
2024-10-08 10:46:00,19460.0,19460.0,19400.0,19400.0,4.0
2024-10-08 10:47:00,19400.0,19400.0,19390.0,19390.0,1.0
2024-10-08 10:48:00,19390.0,19410.0,19385.0,19400.0,17.0
2024-10-08 10:49:00,19400.0,19400.0,19360.0,19360.0,18.0
2024-10-08 10:51:00,19360.0,19385.0,19355.0,19385.0,6.0
2024-10-08 10:52:00,19385.0,19400.0,19385.0,19395.0,2.0
2024-10-08 10:54:00,19395.0,19395.0,19390.0,19390.0,2.0
2024-10-08 10:55:00,19390.0,19420.0,19390.0,19420.0,2.0
2024-10-08 10:56:00,19420.0,19430.0,19420.0,19430.0,5.0
2024-10-08 10:57:00,19430.0,19430.0,19375.0,19375.0,5.0
2024-10-08 10:58:00,19375.0,19380.0,19375.0,19380.0,1.0
2024-10-08 10:59:00,19380.0,19380.0,19360.0,19370.0,3.0
2024-10-08 11:01:00,19370.0,19395.0,19370.0,19395.0,4.0
2024-10-08 11:02:00,19395.0,19435.0,19395.0,19435.0,8.0
2024-10-08 11:03:00,19435.0,19450.0,19435.0,19450.0,1.0
2024-10-08 11:04:00,19450.0,19485.0,19450.0,19480.0,37.0
2024-10-08 11:05:00,19480.0,19500.0,19465.0,19475.0,23.0
2024-10-08 11:06:00,19475.0,19490.0,19465.0,19490.0,4.0
2024-10-08 11:07:00,19490.0,19510.0,19490.0,19505.0,7.0
2024-10-08 11:09:00,19505.0,19505.0,19490.0,19490.0,3.0
2024-10-08 11:10:00,19490.0,19490.0,19475.0,19475.0,1.0
2024-10-08 11:11:00,19475.0,19475.0,19450.0,19475.0,3.0
2024-10-08 11:12:00,19475.0,19500.0,19475.0,19495.0,5.0
2024-10-08 11:13:00,19495.0,19530.0,19495.0,19525.0,4.0
2024-10-08 11:14:00,19525.0,19535.0,19515.0,19535.0,8.0
2024-10-08 11:15:00,19535.0,19545.0,19530.0,19530.0,12.0
2024-10-08 11:16:00,19530.0,19550.0,19530.0,19550.0,61.0
2024-10-08 11:17:00,19550.0,19560.0,19545.0,19550.0,4.0
2024-10-08 11:18:00,19550.0,19565.0,19550.0,19565.0,21.0
2024-10-08 11:19:00,19565.0,19565.0,19555.0,19555.0,2.0
2024-10-08 11:20:00,19555.0,19575.0,19550.0,19550.0,4.0
2024-10-08 11:21:00,19550.0,19565.0,19535.0,19535.0,5.0
2024-10-08 11:22:00,19535.0,19565.0,19535.0,19560.0,3.0
2024-10-08 11:23:00,19560.0,19560.0,19525.0,19525.0,3.0
2024-10-08 11:24:00,19525.0,19525.0,19510.0,19510.0,2.0
2024-10-08 11:26:00,19510.0,19510.0,19450.0,19450.0,11.0
2024-10-08 11:27:00,19450.0,19450.0,19420.0,19440.0,12.0
2024-10-08 11:28:00,19440.0,19440.0,19410.0,19410.0,4.0
2024-10-08 11:29:00,19410.0,19430.0,19410.0,19430.0,2.0
2024-10-08 13:30:00,19400.0,19420.0,19390.0,19410.0,24.0
2024-10-08 13:31:00,19410.0,19415.0,19400.0,19405.0,5.0
2024-10-08 13:32:00,19405.0,19405.0,19385.0,19385.0,5.0
2024-10-08 13:33:00,19385.0,19385.0,19385.0,19385.0,2.0
2024-10-08 13:34:00,19385.0,19385.0,19365.0,19370.0,6.0
2024-10-08 13:35:00,19370.0,19375.0,19360.0,19360.0,5.0
2024-10-08 13:36:00,19360.0,19360.0,19345.0,19345.0,4.0
2024-10-08 13:37:00,19345.0,19360.0,19310.0,19310.0,11.0
2024-10-08 13:38:00,19310.0,19310.0,19285.0,19310.0,21.0
2024-10-08 13:39:00,19310.0,19345.0,19300.0,19345.0,75.0
2024-10-08 13:40:00,19345.0,19345.0,19315.0,19335.0,37.0
2024-10-08 13:41:00,19335.0,19335.0,19325.0,19325.0,10.0
2024-10-08 13:42:00,19325.0,19350.0,19310.0,19345.0,20.0
2024-10-08 13:43:00,19345.0,19355.0,19340.0,19340.0,31.0
2024-10-08 13:44:00,19340.0,19340.0,19340.0,19340.0,1.0
2024-10-08 13:45:00,19340.0,19340.0,19315.0,19315.0,2.0
2024-10-08 13:46:00,19315.0,19330.0,19305.0,19330.0,3.0
2024-10-08 13:47:00,19330.0,19345.0,19330.0,19345.0,3.0
2024-10-08 13:48:00,19345.0,19360.0,19315.0,19315.0,3.0
2024-10-08 13:49:00,19315.0,19325.0,19300.0,19300.0,3.0
2024-10-08 13:50:00,19300.0,19300.0,19290.0,19295.0,18.0
2024-10-08 13:51:00,19295.0,19315.0,19290.0,19310.0,11.0
2024-10-08 13:52:00,19310.0,19330.0,19310.0,19330.0,9.0
2024-10-08 13:53:00,19330.0,19330.0,19295.0,19295.0,2.0
2024-10-08 13:55:00,19295.0,19320.0,19295.0,19320.0,2.0
2024-10-08 13:56:00,19320.0,19330.0,19305.0,19305.0,9.0
2024-10-08 13:57:00,19305.0,19310.0,19305.0,19310.0,1.0
2024-10-08 13:58:00,19310.0,19325.0,19310.0,19325.0,1.0
2024-10-08 13:59:00,19325.0,19350.0,19325.0,19350.0,1.0
2024-10-08 14:00:00,19350.0,19365.0,19350.0,19365.0,5.0
2024-10-08 14:01:00,19365.0,19400.0,19365.0,19365.0,15.0
2024-10-08 14:02:00,19365.0,19385.0,19350.0,19350.0,2.0
2024-10-08 14:03:00,19350.0,19360.0,19350.0,19360.0,2.0
2024-10-08 14:04:00,19360.0,19360.0,19315.0,19315.0,1.0
2024-10-08 14:05:00,19315.0,19315.0,19310.0,19310.0,1.0
2024-10-08 14:06:00,19310.0,19320.0,19310.0,19320.0,1.0
2024-10-08 14:07:00,19320.0,19320.0,19210.0,19265.0,122.0
2024-10-08 14:08:00,19265.0,19265.0,19210.0,19230.0,14.0
2024-10-08 14:09:00,19230.0,19230.0,19190.0,19215.0,37.0
2024-10-08 14:10:00,19215.0,19255.0,19205.0,19255.0,41.0
2024-10-08 14:11:00,19255.0,19255.0,19205.0,19205.0,4.0
2024-10-08 14:12:00,19205.0,19215.0,19190.0,19190.0,21.0
2024-10-08 14:13:00,19190.0,19190.0,19115.0,19120.0,29.0
2024-10-08 14:14:00,19120.0,19160.0,19105.0,19110.0,50.0
2024-10-08 14:15:00,19110.0,19110.0,19050.0,19060.0,27.0
2024-10-08 14:16:00,19060.0,19080.0,19025.0,19080.0,39.0
2024-10-08 14:17:00,19080.0,19105.0,19080.0,19090.0,12.0
2024-10-08 14:18:00,19090.0,19120.0,19075.0,19075.0,11.0
2024-10-08 14:19:00,19075.0,19075.0,19060.0,19060.0,12.0
2024-10-08 14:20:00,19060.0,19100.0,19060.0,19100.0,10.0
2024-10-08 14:21:00,19100.0,19105.0,19075.0,19080.0,4.0
2024-10-08 14:22:00,19080.0,19125.0,19080.0,19115.0,7.0
2024-10-08 14:23:00,19115.0,19115.0,19100.0,19115.0,11.0
2024-10-08 14:24:00,19115.0,19130.0,19105.0,19125.0,52.0
2024-10-08 14:25:00,19125.0,19155.0,19125.0,19135.0,19.0
2024-10-08 14:26:00,19135.0,19180.0,19135.0,19155.0,6.0
2024-10-08 14:27:00,19155.0,19195.0,19155.0,19195.0,9.0
2024-10-08 14:28:00,19195.0,19235.0,19185.0,19235.0,16.0
2024-10-08 14:29:00,19235.0,19235.0,19210.0,19230.0,20.0
2024-10-08 14:30:00,19230.0,19290.0,19230.0,19290.0,8.0
2024-10-08 14:31:00,19290.0,19315.0,19290.0,19315.0,27.0
2024-10-08 14:32:00,19315.0,19325.0,19310.0,19325.0,13.0
2024-10-08 14:33:00,19325.0,19330.0,19300.0,19305.0,8.0
2024-10-08 14:34:00,19305.0,19330.0,19305.0,19330.0,8.0
2024-10-08 14:36:00,19330.0,19350.0,19330.0,19345.0,5.0
2024-10-08 14:37:00,19345.0,19380.0,19345.0,19365.0,22.0
2024-10-08 14:38:00,19365.0,19365.0,19335.0,19335.0,8.0
2024-10-08 14:39:00,19335.0,19340.0,19335.0,19340.0,4.0
2024-10-08 14:40:00,19340.0,19345.0,19330.0,19330.0,34.0
2024-10-08 14:41:00,19330.0,19330.0,19265.0,19275.0,41.0
2024-10-08 14:42:00,19275.0,19295.0,19245.0,19255.0,35.0
2024-10-08 14:43:00,19255.0,19260.0,19230.0,19240.0,12.0
2024-10-08 14:44:00,19240.0,19245.0,19240.0,19240.0,59.0
2024-10-08 14:45:00,19240.0,19290.0,19240.0,19275.0,40.0
2024-10-08 14:46:00,19275.0,19300.0,19275.0,19300.0,20.0
2024-10-08 14:47:00,19300.0,19300.0,19300.0,19300.0,8.0
2024-10-08 14:48:00,19300.0,19300.0,19270.0,19270.0,31.0
2024-10-08 14:49:00,19270.0,19290.0,19265.0,19275.0,55.0
2024-10-08 14:50:00,19275.0,19340.0,19275.0,19280.0,16.0
2024-10-08 14:51:00,19280.0,19320.0,19280.0,19320.0,2.0
2024-10-08 14:52:00,19320.0,19320.0,19285.0,19285.0,3.0
2024-10-08 14:53:00,19285.0,19285.0,19230.0,19240.0,63.0
2024-10-08 14:54:00,19240.0,19245.0,19220.0,19225.0,116.0
2024-10-08 14:55:00,19225.0,19225.0,19195.0,19195.0,112.0
2024-10-08 14:56:00,19195.0,19235.0,19185.0,19185.0,17.0
2024-10-08 14:57:00,19185.0,19210.0,19185.0,19195.0,56.0
2024-10-08 14:58:00,19195.0,19200.0,19175.0,19180.0,27.0
2024-10-08 14:59:00,19180.0,19180.0,19120.0,19140.0,101.0
2024-10-08 21:00:00,19090.0,19170.0,19080.0,19160.0,17.0
2024-10-08 21:01:00,19160.0,19245.0,19160.0,19195.0,71.0
2024-10-08 21:02:00,19195.0,19270.0,19195.0,19235.0,42.0
2024-10-08 21:03:00,19235.0,19245.0,19195.0,19200.0,30.0
2024-10-08 21:04:00,19200.0,19235.0,19190.0,19235.0,22.0
2024-10-08 21:05:00,19235.0,19270.0,19230.0,19270.0,10.0
2024-10-08 21:06:00,19270.0,19300.0,19270.0,19300.0,20.0
2024-10-08 21:07:00,19300.0,19305.0,19285.0,19290.0,36.0
2024-10-08 21:08:00,19290.0,19325.0,19290.0,19315.0,32.0
2024-10-08 21:09:00,19315.0,19315.0,19280.0,19280.0,4.0
2024-10-08 21:10:00,19280.0,19340.0,19280.0,19340.0,8.0
2024-10-08 21:11:00,19340.0,19340.0,19295.0,19295.0,22.0
2024-10-08 21:12:00,19295.0,19305.0,19290.0,19295.0,5.0
2024-10-08 21:13:00,19295.0,19320.0,19295.0,19320.0,3.0
2024-10-08 21:14:00,19320.0,19340.0,19310.0,19310.0,14.0
2024-10-08 21:15:00,19310.0,19355.0,19310.0,19335.0,9.0
2024-10-08 21:16:00,19335.0,19355.0,19315.0,19315.0,25.0
2024-10-08 21:17:00,19315.0,19315.0,19310.0,19315.0,4.0
2024-10-08 21:18:00,19315.0,19315.0,19310.0,19315.0,3.0
2024-10-08 21:19:00,19315.0,19330.0,19315.0,19330.0,3.0
2024-10-08 21:20:00,19330.0,19330.0,19320.0,19320.0,1.0
